Coefficient	-1	-1	1	1						
RXN_ID	12460	None	None							
Metabolite	CHEBI:15589	CHEBI:29806	CHEBI:15377							
Coefficient	-1	1	1	1						
RXN_ID	BUTTE	None	None	None	None					
Metabolite	CHEBI:78454	CHEBI:15377	CHEBI:17968	CHEBI:14405	CHEBI:15378					
Coefficient	-1	-1	1	1	1					
RXN_ID	BCAR	None	None	None	None	None	None	None		
Metabolite	CHEBI:17968	CHEBI:57783	CHEBI:15378	CHEBI:30616	CHEBI:58349	CHEBI:33019	CHEBI:456215	CHEBI:17769		
Coefficient	-1	-1	-1	-1	1	1	1	1		
RXN_ID	ADO	None	None	None	None	None	None	None		
Metabolite	CHEBI:17769	CHEBI:57783	CHEBI:15379	CHEBI:15378	CHEBI:58349	CHEBI:15377	CHEBI:15740	CHEBI:32879		
Coefficient	-1	-2	-1	-1	2	1	1	1		
RXN_ID	BAAT	None	None	None						
Metabolite	CHEBI:57371	CHEBI:16236	CHEBI:88764	CHEBI:57287						
Coefficient	-1	-1	1	1						
RXN_ID	12963	None	None	None						
Metabolite	CHEBI:57286	CHEBI:17968	CHEBI:13705	CHEBI:57371						
Coefficient	-1	-1	1	1						
RXN_ID	27806	None	None	None						
Metabolite	CHEBI:13705	CHEBI:57288	CHEBI:30089	CHEBI:57286						
Coefficient	-1	-1	1	1						
RXN_ID	19730	None	None	None						
Metabolite	CHEBI:13705	CHEBI:15378	CHEBI:15347	CHEBI:16526						
Coefficient	-1	-1	1	1						
RXN_ID	GBLR									
Metabolite	CHEBI:15379	CHEBI:58574	CHEBI:57945	CHEBI:15378	CHEBI:GBL	CHEBI:57540	CHEBI:57287	CHEBI:15377		
Coefficient	-1	-1	-2	-2	1	2	1	2		
RXN_ID	13245	None	None							
Metabolite	CHEBI:16087	CHEBI:36655	CHEBI:30031							
Coefficient	-1	1	1							
RXN_ID	14837	None	None	None	None	None				
Metabolite	CHEBI:36655	CHEBI:15377	CHEBI:15379	CHEBI:15378	CHEBI:16240	CHEBI:30623				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	25311	None	None	None						
Metabolite	CHEBI:29805	CHEBI:15379	CHEBI:36655	CHEBI:16240						
Coefficient	-1	-1	1	1						
RXN_ID	20001	None	None	None	None	None				
Metabolite	CHEBI:17071	CHEBI:15377	CHEBI:57540	CHEBI:29805	CHEBI:15378	CHEBI:57945				
Coefficient	-1	-1	-1	1	2	1				
RXN_ID	27630	None	None	None	None					
Metabolite	CHEBI:30742	CHEBI:57540	CHEBI:17071	CHEBI:15378	CHEBI:57945					
Coefficient	1	1	-1	-1	-1					
RXN_ID	ADHBC	None	None	None	None	None				
Metabolite	CHEBI:57315	CHEBI:57945	CHEBI:15378	CHEBI:57287	CHEBI:57540	CHEBI:R3HBC				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	ADHBDO	None	None	None	None	None				
Metabolite	CHEBI:R3HBC	CHEBI:57945	CHEBI:15378	CHEBI:15378	CHEBI:57540	CHEBI:R13BDO				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	49592	None								
Metabolite	CHEBI:131780	CHEBI:57316								
Coefficient	-1	1								
RXN_ID	15255	None	None	None						
Metabolite	CHEBI:16526	CHEBI:17240	CHEBI:16383	CHEBI:15378						
Coefficient	-1	-1	1	1						
