CHEBI_ID	Metabolite_name	Starting metabolite	Path																		
CHEBI:16763	2-oxobutanoate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109												
CHEBI:LHMA	L-homoalanine	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	EGDH											
CHEBI:57392	propionyl-CoA(4-)	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055											
CHEBI:57327	(S)-methylmalonyl-CoA(5-)	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	23720										
CHEBI:58045	L-isoleucine zwitterion	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	27655	13493	27695	24801								
CHEBI:17272	propionate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	R00993	23148										
CHEBI:28831	propan-1-ol	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	55073	50706										
CHEBI:28831	propan-1-ol	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	R00993	23148	R00298	36029	50706							
CHEBI:28885	butan-1-ol	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	LEUABCD1	KIVD1	ADH61									
CHEBI:87381	3-methylpentanol	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	27655	13493	27695	LEUKIVDADH2								
CHEBI:48945	2-methylbutan-1-ol	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	27655	13493	27695	KIVDADH62								
CHEBI:57844	L-methionine zwitterion	L-methionine zwitterion																			
CHEBI:58360	1-aminocyclopropanecarboxylic acid zwitterion	L-methionine zwitterion	21081	21745																	
CHEBI:18153	ethene	L-methionine zwitterion	21081	21745	23641																
CHEBI:32551	L-lysinium(1+)	L-lysinium(1+)																			
CHEBI:58384	cadaverine(2+)	L-lysinium(1+)	22353																		
CHEBI:58382	5-ammoniopentanamide	L-lysinium(1+)	14602																		
CHEBI:356010	5-aminopentanoic acid zwitterion	L-lysinium(1+)	14602	15680																	
CHEBI:89209	Ethyl isobutyl ketone	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	25250	22070	24810	21525	16293	10676	10893	25079	23720	25178	PKS5M3HN
CHEBI:31011	valerate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	CCE1	55053									
CHEBI:32362	heptanoate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	CCE1	CCE2	FACOAE70								
CHEBI:48946	2-methylbutyrate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	PCTFADBI1	ACT2MB									
