CHEBI_ID	Metabolite_name	Starting metabolite	Path																		
CHEBI:327995	tyraminium	(1s,4s)-prephenate(2-)	13870	15096	14348																
CHEBI:57504	L-dopa zwitterion	(1s,4s)-prephenate(2-)	13870	15096	HPAB																
CHEBI:59905	dopaminium(1+)	(1s,4s)-prephenate(2-)	13870	15096	HPAB	12273															
CHEBI:3HXTYR	3-hydroxytyrosol	(1s,4s)-prephenate(2-)	13870	15096	HPAB	12273	27947	ADHDPM													
CHEBI:15882	phenol	(1s,4s)-prephenate(2-)	13870	15096	21705																
CHEBI:18135	catechol	(1s,4s)-prephenate(2-)	13870	15096	21705	17062															
CHEBI:32379	cis,cis-muconate	(1s,4s)-prephenate(2-)	13870	15096	21705	17062	23853														
CHEBI:12876	trans-4-coumarate	(1s,4s)-prephenate(2-)	13870	15096	24907																
CHEBI:57355	4-coumaroyl-CoA(4-)	(1s,4s)-prephenate(2-)	13870	15096	24907	4CMCOAS															
CHEBI:45713	trans-resveratrol	(1s,4s)-prephenate(2-)	13870	15096	24907	4CMCOAS	11937														
CHEBI:1883	4-hydroxystyrene	(1s,4s)-prephenate(2-)	13870	15096	24907	33228															
CHEBI:57770	trans-caffeate	(1s,4s)-prephenate(2-)	13870	15096	24907	C3MOGN															
CHEBI:57770	trans-caffeate	(1s,4s)-prephenate(2-)	13870	15096	HPAB	12521															
CHEBI:29749	ferulate	(1s,4s)-prephenate(2-)	13870	15096	24907	C3MOGN	20226														
CHEBI:16424	phenylacetaldehyde	(1s,4s)-prephenate(2-)	21651	14186																	
CHEBI:2PETO	2-phenylethanol	(1s,4s)-prephenate(2-)	21651	14186	ALCD25yi																
CHEBI:18401	phenylacetate	(1s,4s)-prephenate(2-)	21651	14186	21393																
CHEBI:6PHX	6-phenylhexanoate	(1s,4s)-prephenate(2-)	21651	14186	21393	20957	PHAE6HX														
CHEBI:75317	4-phenylbutyrate	(1s,4s)-prephenate(2-)	21651	14186	21393	20957	PHAE4PB														
CHEBI:36592	pyrrolidin-2-one	2-oxoglutarate(2-)	11614	17786	ACT	C4CYC															
CHEBI:60039	L-proline zwitterion	2-oxoglutarate(2-)	11614	18049	15941	25161	G5SADs	14111													
CHEBI:57302	proclavaminic acid zwitterion	2-oxoglutarate(2-)	11614	18049	15941	19513	10933	24020	10557	23621	20022	17002									
CHEBI:57499	2-oxoadipate(2-)	2-oxoglutarate(2-)	12929	26102	15487	11901															
CHEBI:57826	6-aminohexanoic acid zwitterion	2-oxoglutarate(2-)	12929	26102	15487	11901	OXPSP	ACSP2OP													
CHEBI:28579	epsilon-caprolactam	2-oxoglutarate(2-)	12929	26102	15487	11901	OXPSP	ACSP2OP	ACTC6	C6CYC											
